"";"Código.Municipio";"Nombre.Municipio";"Puntaje"
"344";18001;"FLORENCIA";44,3598490404119
"345";18029;"ALBANIA";43,9026433566434
"346";18094;"BELÉN DE LOS ANDAQUÍES";42,212573964497
"347";18150;"CARTAGENA DEL CHAIRÁ";44,707090729783
"348";18205;"CURILLO";44,7961538461538
"349";18247;"EL DONCELLO";43,0351950315973
"350";18256;"EL PAUJÍL";42,6799196326062
"351";18410;"LA MONTAÑITA";42,2039058355438
"352";18460;"MILÁN";41,7150512820513
"353";18479;"MORELIA";40,320541958042
"354";18592;"PUERTO RICO";42,4952682372978
"355";18610;"SAN JOSÉ DEL FRAGUA";40,5540482398957
"356";18753;"SAN VICENTE DEL CAGUÁN";42,5361951833213
"357";18756;"SOLANO";40,7067521367521
"358";18785;"SOLITA";42,8622948717949
"359";18860;"VALPARAÍSO";42,5526473526473
"360";19001;"POPAYÁN";46,5624869417728
"361";19022;"ALMAGUER";42,2251304945055
"362";19050;"ARGELIA";43,5285174825175
"363";19075;"BALBOA";42,4449150849151
"364";19100;"BOLÍVAR";43,6206679594915
"365";19110;"BUENOS AIRES";39,2301215880893
"366";19130;"CAJIBÍO";42,9985131481937
"367";19137;"CALDONO";41,9737853635726
"368";19142;"CALOTO";40,8266174055829
"369";19212;"CORINTO";42,3471418701059
"370";19256;"EL TAMBO";43,3645384615385
"371";19290;"FLORENCIA";43,0007692307692
"372";19300;"GUACHENÉ";38,1538461538461
"373";19318;"GUAPÍ";39,4523368468267
"374";19355;"INZÁ";42,941373403924
"375";19364;"JAMBALÓ";40,0334376657825
"376";19392;"LA SIERRA";41,447972027972
"377";19397;"LA VEGA";42,4853513153513
"378";19418;"LÓPEZ DE MICAY";37,8587980769231
"379";19450;"MERCADERES";43,8527055702918
"380";19455;"MIRANDA";44,4944675444675
"381";19473;"MORALES";43,2676004084411
"382";19513;"PADILLA";40,9829874776386
"383";19517;"PÁEZ";42,4311287205257
"384";19532;"PATÍA";42,178778280543
"385";19533;"PIAMONTE";41,4646153846154
"386";19548;"PIENDAMÓ";43,9709522971308
"387";19573;"PUERTO TEJADA";41,9116302901251
"388";19585;"PURACÉ";42,2926421404682
"389";19622;"ROSAS";43,123442498096
"390";19693;"SAN SEBASTIÁN";41,9985264133457
"391";19698;"SANTANDER DE QUILICHAO";43,6040346679118
"392";19701;"SANTA ROSA";42,9660512820513
"393";19743;"SILVIA";42,4182562720299
"394";19760;"SOTARA";43,5960805860806
"395";19780;"SUÁREZ";39,7879851116625
"396";19785;"SUCRE";42,7230636604775
"397";19807;"TIMBÍO";44,2895160839161
"398";19809;"TIMBIQUÍ";38,4593385595296
"399";19821;"TORIBÍO";41,2319347319347
"400";19824;"TOTORÓ";41,7655523423945
"401";19845;"VILLA RICA";41,1779310344828
"402";20001;"VALLEDUPAR";44,9152456701666
"403";20011;"AGUACHICA";43,1323262197214
"404";20013;"AGUSTÍN CODAZZI";43,474058755315
"405";20032;"ASTREA";42,2489193245779
"406";20045;"BECERRIL";42,4094312354312
"407";20060;"BOSCONIA";41,1036485177291
"408";20175;"CHIMICHAGUA";41,589475448299
"409";20178;"CHIRIGUANÁ";41,8985037707391
"410";20228;"CURUMANÍ";41,761095684803
"411";20238;"EL COPEY";43,1772527472527
"412";20250;"EL PASO";41,9765004472272
"413";20295;"GAMARRA";41,8161301775148
"414";20310;"GONZÁLEZ";43,9523076923077
"415";20383;"LA GLORIA";41,8937307692308
"416";20400;"LA JAGUA DE IBIRICO";41,9196728334956
"417";20443;"MANAURE BALCÓN DEL CESAR";44,4729873039582
"418";20517;"PAILITAS";42,5157371794872
"419";20550;"PELAYA";42,5955309872314
"420";20570;"PUEBLO BELLO";43,2976287932251
"421";20614;"RÍO DE ORO";44,0793540810335
"422";20621;"LA PAZ";43,0045986622074
"423";20710;"SAN ALBERTO";44,6440692307692
"424";20750;"SAN DIEGO";43,8755736263736
"425";20770;"SAN MARTÍN";44,5376489707476
"426";20787;"TAMALAMEQUE";40,9694663894664
"427";23001;"MONTERÍA";45,80659776347
"428";23068;"AYAPEL";42,035604947816
"429";23079;"BUENAVISTA";41,2320763851533
"430";23090;"CANALETE";42,4946949602122
"431";23162;"CERETÉ";44,3238531526373
"432";23168;"CHIMÁ";41,3529397089397
"433";23182;"CHINÚ";43,7369554493603
"434";23189;"CIÉNAGA DE ORO";42,7156374807988
"435";23300;"COTORRA";42,1075735992403
"436";23350;"LA APARTADA";42,2073973395026
"437";23417;"LORICA";42,1071001993787
"438";23419;"LOS CÓRDOBAS";41,9465177337632
"439";23464;"MOMIL";41,718717948718
"440";23466;"MONTELÍBANO";44,3401373903594
"441";23500;"MOÑITOS";41,4577898550725
"442";23555;"PLANETA RICA";43,4068966938742
"443";23570;"PUEBLO NUEVO";42,4213278106509
"444";23574;"PUERTO ESCONDIDO";41,016820966644
"445";23580;"PUERTO LIBERTADOR";44,2167930660888
"446";23586;"PURÍSIMA DE LA CONCEPCIÓN";40,9532118758435
"447";23660;"SAHAGÚN";44,4355266529271
"448";23670;"SAN ANDRÉS DE SOTAVENTO";40,3211309977152
"449";23672;"SAN ANTERO";40,8395372596154
"450";23675;"SAN BERNARDO DEL VIENTO";42,5011750062235
"451";23678;"SAN CARLOS";42,7571659919028
"452";23686;"SAN PELAYO";42,2551169983862
"453";23807;"TIERRALTA";42,073141928494
"454";23855;"VALENCIA";41,67466574058
"455";25001;"AGUA DE DIOS";43,5941992433796
"456";25019;"ALBÁN";43,5224459809853
"457";25035;"ANAPOIMA";43,0420979020979
"458";25040;"ANOLAIMA";44,650516765286
"459";25053;"ARBELÁEZ";46,6947907239819
"460";25086;"BELTRÁN";41,1035576923077
"461";25095;"BITUIMA";43,6584615384615
"462";25099;"BOJACÁ";44,9538673253352
"463";25120;"CABRERA";41,7868541905855
"464";25123;"CACHIPAY";45,0785463355542
"465";25126;"CAJICÁ";48,1913582009638
"466";25148;"CAPARRAPÍ";43,5031360946746
"467";25151;"CÁQUEZA";44,9092247829991
"468";25154;"CARMEN DE CARUPA";43,0396383957923
"469";25168;"CHAGUANÍ";42
"470";25175;"CHÍA";49,878309817862
"471";25178;"CHIPAQUE";44,0560096153846
"472";25181;"CHOACHÍ";44,9059311740891
"473";25183;"CHOCONTÁ";44,9010410437619
"474";25200;"COGUA";45,1719784615385
"475";25214;"COTA";52,8684697435897
"476";25224;"CUCUNUBÁ";43,5036057692308
"477";25245;"EL COLEGIO";44,6131782588669
"478";25258;"EL PEÑÓN";41,7890180032733
"479";25260;"EL ROSAL";43,7362633637549
"480";25269;"FACATATIVÁ";46,5351324644348
"481";25279;"FÓMEQUE";44,2149238996298
"482";25281;"FOSCA";43,7651566951567
"483";25286;"FUNZA";45,2602299762094
"484";25288;"FÚQUENE";45,8817894736842
"485";25290;"FUSAGASUGÁ";45,4490188068445
"486";25293;"GACHALÁ";43,2087912087912
"487";25295;"GACHANCIPÁ";45,7463600891862
"488";25297;"GACHETÁ";43,8515501757126
"489";25299;"GAMA";45,3023076923077
"490";25307;"GIRARDOT";43,6962692038165
"491";25312;"GRANADA";43,1892307692308
"492";25317;"GUACHETÁ";44,2503846153846
"493";25320;"GUADUAS";44,6029347123465
"494";25322;"GUASCA";44,549556561086
"495";25324;"GUATAQUÍ";40,3670085470085
"496";25326;"GUATAVITA";44,982808988764
"497";25328;"GUAYABAL DE SÍQUIMA";43,3357918552036
"498";25335;"GUAYABETAL";43,4276923076923
"499";25339;"GUTIÉRREZ";41,8471878940731
"500";25368;"JERUSALÉN";40,4769230769231
"501";25372;"JUNÍN";44,21
"502";25377;"LA CALERA";52,7695641646489
"503";25386;"LA MESA";46,2668027503223
"504";25394;"LA PALMA";42,284350132626
"505";25398;"LA PEÑA";40,9992026266417
"506";25402;"LA VEGA";44,3396425151612
"507";25407;"LENGUAZAQUE";44,3554876373626
"508";25426;"MACHETÁ";45,2230942091616
"509";25430;"MADRID";45,3004749360229
"510";25436;"MANTA";44,1723076923077
"511";25438;"MEDINA";42,3334274586173
"512";25473;"MOSQUERA";47,4519020685197
"513";25483;"NARIÑO";40,269205955335
"514";25486;"NEMOCÓN";44,2356436420722
"515";25488;"NILO";44,5470645446508
"516";25489;"NIMAIMA";42,7904437869822
"517";25491;"NOCAIMA";45,0311071171819
"518";25506;"VENECIA";42,5643535188216
"519";25513;"PACHO";43,7810060583807
"520";25518;"PAIME";42,9920315581854
"521";25524;"PANDI";41,7916666666667
"522";25530;"PARATEBUENO";43,5479289940828
"523";25535;"PASCA";45,9494125874126
"524";25572;"PUERTO SALGAR";46,2673698354048
"525";25580;"PULÍ";42,3856923076923
"526";25592;"QUEBRADANEGRA";42,9039560439561
"527";25594;"QUETAME";43,5723351648352
"528";25596;"QUIPILE";43,0753619909502
"529";25599;"APULO";41,6241806020067
"530";25612;"RICAURTE";43,0034298642534
"531";25645;"SAN ANTONIO DEL TEQUENDAMA";44,6667185978578
"532";25649;"SAN BERNARDO";44,6869178794179
"533";25653;"SAN CAYETANO";41,7747793190416
"534";25658;"SAN FRANCISCO";44,3131153846154
"535";25662;"SAN JUAN DE RIOSECO";43,6512170706006
"536";25718;"SASAIMA";44,567682382134
"537";25736;"SESQUILÉ";44,2612804586718
"538";25740;"SIBATÉ";45,2713835592325
"539";25743;"SILVANIA";42,741063034188
"540";25745;"SIMIJACA";44,9534347048301
"541";25754;"SOACHA";44,7713635080986
"542";25758;"SOPÓ";48,0964711253139
"543";25769;"SUBACHOQUE";46,3179688493325
"544";25772;"SUESCA";43,2661639676113
"545";25777;"SUPATÁ";45,1549543676662
"546";25779;"SUSA";43,6176923076923
"547";25781;"SUTATAUSA";44,0908450704225
"548";25785;"TABIO";44,9814197923289
"549";25793;"TAUSA";43,3911248966088
"550";25797;"TENA";42,4515680473373
"551";25799;"TENJO";47,4242721257237
"552";25805;"TIBACUY";43,5085953177257
"553";25807;"TIBIRITA";44,7815384615385
"554";25815;"TOCAIMA";41,825632183908
"555";25817;"TOCANCIPÁ";46,1554185974668
"556";25823;"TOPAIPÍ";41,0124786324786
"557";25839;"UBALÁ";42,7594391025641
"558";25841;"UBAQUE";44,2030769230769
"559";25843;"VILLA DE SAN DIEGO DE UBATÉ";45,5063810451152
"560";25845;"UNE";45,6430769230769
"561";25851;"ÚTICA";42,86
"562";25862;"VERGARA";43,2129102564103
"563";25867;"VIANÍ";44,152798690671
"564";25871;"VILLAGÓMEZ";44,2169230769231
"565";25873;"VILLAPINZÓN";45,4008595988539
"566";25875;"VILLETA";44,76164269335
"567";25878;"VIOTÁ";42,7526570218772
"568";25885;"YACOPÍ";39,8129025641026
"569";25898;"ZIPACÓN";42,5932560590095
"570";25899;"ZIPAQUIRÁ";46,9586026349341
"571";27001;"QUIBDÓ";40,7671125855277
"572";27006;"ACANDÍ";41,6876923076923
"573";27025;"ALTO BAUDÓ";37,5055538461538
"574";27050;"ATRATO";38,9234525939177
"575";27073;"BAGADÓ";43,0486904761905
"576";27075;"BAHÍA SOLANO";40,8770512820513
"577";27077;"BAJO BAUDÓ";39,6119800569801
"578";27099;"BOJAYÁ";38,7758974358974
"579";27135;"EL CANTÓN DEL SAN PABLO";39,9250620347395
"580";27150;"CARMEN DEL DARIÉN";39,8815384615385
"581";27160;"CÉRTEGUI";39,1230769230769
