integrante;TipoEquipo;SO;ServicePack;TipoSO;FormatoDD;ProcesaTexto;VersionProcesa;Formato;NumLetrasa;TamañoArchivo;;;;;
2;Portatil;Windows 7 Home Basic; Service Pack 1;64 bits;NTFS;Microsoft Word;2010;odt;80000;100;;;;;
2;Portatil;Windows 7 Home Basic; Service Pack 1;64 bits;NTFS;Microsoft Word;2010;odt;90000;112;;;;;
2;Portatil;Windows 7 Home Basic; Service Pack 1;64 bits;NTFS;Microsoft Word;2010;odt;100000;120;;;;;
3;Portatil;Windows 7 Professional; Service Pack 1;64 bits;NTFS;Microsoft Word;2010;docx;1000;13;;;;;
3;Portatil;Windows 7 Professional; Service Pack 1;64 bits;NTFS;Microsoft Word;2010;docx;2000;13;;;;;
3;Portatil;Windows 7 Professional; Service Pack 1;64 bits;NTFS;Microsoft Word;2010;docx;3000;13;;;;;
3;Portatil;Windows 7 Professional; Service Pack 1;64 bits;NTFS;Microsoft Word;2010;docx;4000;13;;;;;
3;Portatil;Windows 7 Professional; Service Pack 1;64 bits;NTFS;Microsoft Word;2010;docx;5000;13;;;;;
3;Portatil;Windows 7 Professional; Service Pack 1;64 bits;NTFS;Microsoft Word;2010;docx;6000;13;;;;;
3;Portatil;Windows 7 Professional; Service Pack 1;64 bits;NTFS;Microsoft Word;2010;docx;7000;13;;;;;
3;Portatil;Windows 7 Professional; Service Pack 1;64 bits;NTFS;Microsoft Word;2010;docx;8000;13;;;;;
3;Portatil;Windows 7 Professional; Service Pack 1;64 bits;NTFS;Microsoft Word;2010;docx;9000;13;;;;;
3;Portatil;Windows 7 Professional; Service Pack 1;64 bits;NTFS;Microsoft Word;2010;docx;10000;13;;;;;
3;Portatil;Windows 7 Professional; Service Pack 1;64 bits;NTFS;Microsoft Word;2010;docx;20000;14;;;;;
3;Portatil;Windows 7 Professional; Service Pack 1;64 bits;NTFS;Microsoft Word;2010;docx;30000;14;;;;;
3;Portatil;Windows 7 Professional; Service Pack 1;64 bits;NTFS;Microsoft Word;2010;docx;40000;14;;;;;
3;Portatil;Windows 7 Professional; Service Pack 1;64 bits;NTFS;Microsoft Word;2010;docx;50000;14;;;;;
3;Portatil;Windows 7 Professional; Service Pack 1;64 bits;NTFS;Microsoft Word;2010;docx;60000;14;;;;;
3;Portatil;Windows 7 Professional; Service Pack 1;64 bits;NTFS;Microsoft Word;2010;docx;70000;14;;;;;
3;Portatil;Windows 7 Professional; Service Pack 1;64 bits;NTFS;Microsoft Word;2010;docx;80000;14;;;;;
3;Portatil;Windows 7 Professional; Service Pack 1;64 bits;NTFS;Microsoft Word;2010;docx;90000;14;;;;;
3;Portatil;Windows 7 Professional; Service Pack 1;64 bits;NTFS;Microsoft Word;2010;docx;100000;14;;;;;
4;Escritorio;Windows 7 Ultimate; Service Pack 1;32 bits;NTFS;Microsoft Word;2010;RTF;1000;32;;;;;
4;Escritorio;Windows 7 Ultimate; Service Pack 1;32 bits;NTFS;Microsoft Word;2010;RTF;2000;36;;;;;
4;Escritorio;Windows 7 Ultimate; Service Pack 1;32 bits;NTFS;Microsoft Word;2010;RTF;3000;36;;;;;
4;Escritorio;Windows 7 Ultimate; Service Pack 1;32 bits;NTFS;Microsoft Word;2010;RTF;4000;36;;;;;
4;Escritorio;Windows 7 Ultimate; Service Pack 1;32 bits;NTFS;Microsoft Word;2010;RTF;5000;36;;;;;
