INTEGRANTE;TIPOEQUIPO;SO;TIPOSO;FORMATODD;PROCESADORTEXTO;VERSIONPROCESADOR;FORMATO;NUMLETRA;TAMAÑOARCHIVODISCO;TAMAÑOARCHIVO
5;portatil;windows 7 home basic;64 bits;ntfs;word;2010;.docx;30000;16;12,9
5;portatil;windows 7 home basic;64 bits;ntfs;word;2010;.docx;40000;16;13
5;portatil;windows 7 home basic;64 bits;ntfs;word;2010;.docx;50000;16;13,1
5;portatil;windows 7 home basic;64 bits;ntfs;word;2010;.docx;60000;16;13,2
5;portatil;windows 7 home basic;64 bits;ntfs;word;2010;.docx;70000;16;13,3
5;portatil;windows 7 home basic;64 bits;ntfs;word;2010;.docx;80000;16;13,4
5;portatil;windows 7 home basic;64 bits;ntfs;word;2010;.docx;90000;16;13,5
5;portatil;windows 7 home basic;64 bits;ntfs;word;2010;.docx;100000;16;13,5
5;portatil;windows 7 home basic;64 bits;ntfs;word;2010;.docx;200000;16;14,2
5;portatil;windows 7 home basic;64 bits;ntfs;word;2010;.docx;300000;16;14,8
5;portatil;windows 7 home basic;64 bits;ntfs;word;2010;.docx;400000;16;15,4
5;portatil;windows 7 home basic;64 bits;ntfs;word;2010;.docx;500000;20;16,6
5;portatil;windows 7 home basic;64 bits;ntfs;word;2010;.docx;600000;20;17,2
5;portatil;windows 7 home basic;64 bits;ntfs;word;2010;.docx;700000;20;17,8
5;portatil;windows 7 home basic;64 bits;ntfs;word;2010;.docx;800000;20;18,4
5;portatil;windows 7 home basic;64 bits;ntfs;word;2010;.docx;900000;20;19
5;portatil;windows 7 home basic;64 bits;ntfs;word;2010;.docx;1000000;20;19,6
;;;;;;;;;;
;;;;;;;;;;
