Integrante;TipoEquipo;SO;TipoSO;FormatoDD;ProcesaTexto;VersionProcesa;Formato;NumLetrasa;TamanoArchivo
3;Escritorio;Windows 7;32;NTFS;Microsoft Word;2007;pdf;3000;80
3;Escritorio;Windows7;32;NTFS;Microsoft Word;2007;pdf;4000;80
3;Escritorio;Windows 7;32;NTFS;Microsoft Word;2007;pdf;5000;80
3;Escritorio;Windows7;32;NTFS;Microsoft Word;2007;pdf;6000;80
3;Escritorio;Windows 7;32;NTFS;Microsoft Word;2007;pdf;7000;84
3;Escritorio;Windows7;32;NTFS;Microsoft Word;2007;pdf;8000;84
3;Escritorio;Windows 7;32;NTFS;Microsoft Word;2007;pdf;9000;84
3;Escritorio;Windows7;32;NTFS;Microsoft Word;2007;pdf;10000;84
3;Escritorio;Windows 7;32;NTFS;Microsoft Word;2007;pdf;20000;84
3;Escritorio;Windows7;32;NTFS;Microsoft Word;2007;pdf;30000;88
3;Escritorio;Windows 7;32;NTFS;Microsoft Word;2007;pdf;40000;92
3;Escritorio;Windows7;32;NTFS;Microsoft Word;2007;pdf;50000;96
3;Escritorio;Windows 7;32;NTFS;Microsoft Word;2007;pdf;60000;100
3;Escritorio;Windows7;32;NTFS;Microsoft Word;2007;pdf;70000;100
3;Escritorio;Windows 7;32;NTFS;Microsoft Word;2007;pdf;80000;104
3;Escritorio;Windows7;32;NTFS;Microsoft Word;2007;pdf;90000;108
3;Escritorio;Windows 7;32;NTFS;Microsoft Word;2007;pdf;100000;108
4;Portátil;Ubuntu;64;ext4;TeXstudio;2,6,2;tex;1000;4
4;Portátil;Ubuntu;64;ext4;TeXstudio;2,6,2;tex;2000;4
4;Portátil;Ubuntu;64;ext4;TeXstudio;2,6,2;tex;3000;4
4;Portátil;Ubuntu;64;ext4;TeXstudio;2,6,2;tex;4000;4
4;Portátil;Ubuntu;64;ext4;TeXstudio;2,6,2;tex;5000;8
4;Portátil;Ubuntu;64;ext4;TeXstudio;2,6,2;tex;6000;8
4;Portátil;Ubuntu;64;ext4;TeXstudio;2,6,2;tex;7000;8
4;Portátil;Ubuntu;64;ext4;TeXstudio;2,6,2;tex;8000;8
4;Portátil;Ubuntu;64;ext4;TeXstudio;2,6,2;tex;9000;12
4;Portátil;Ubuntu;64;ext4;TeXstudio;2,6,2;tex;10000;12
